"","country","value"
"1","AFG",2
"2","AGO",1
"3","ARM",4
"4","BDI",3
"5","BGD",4
"6","BOL",1
"7","BRA",1
"8","CIV",4
"9","CMR",2
"10","COG",1
"11","COL",1
"12","COM",3
"13","CPV",1
"14","DOM",2
"15","ECU",1
"16","ETH",1
"17","GEO",2
"18","GHA",1
"19","GMB",1
"20","GNQ",1
"21","GTM",1
"22","GUY",2
"23","HTI",1
"24","IND",1
"25","KEN",1
"26","KGZ",1
"27","KHM",3
"28","KIR",2
"29","LBN",1
"30","MAR",1
"31","MDA",1
"32","MDG",2
"33","MLI",1
"34","MOZ",2
"35","MUS",1
"36","NAM",1
"37","NGA",1
"38","NPL",1
"39","PAK",1
"40","PER",1
"41","PHL",3
"42","RWA",3
"43","SDN",2
"44","SEN",1
"45","SLV",1
"46","SOM",1
"47","SSD",2
"48","TCD",4
"49","THA",2
"50","TJK",1
"51","TLS",2
"52","TON",1
"53","TUN",1
"54","TZA",4
"55","UGA",1
"56","WSM",1
"57","YEM",2
"58","ZWE",1
