"country","value"
"Afghanistan",3
"Angola",2
"Armenia",3
"Azerbaijan",1
"Bangladesh",6
"Benin",1
"Bolivia, Plurinational State of",1
"Brazil",1
"Burkina Faso",2
"Burundi",3
"Cabo Verde",1
"Cambodia",4
"Cameroon",3
"Chad",5
"Colombia",1
"Comoros",3
"Congo",1
"Cote d'Ivoire",5
"Dominican Republic",2
"Ecuador",1
"El Salvador",1
"Equatorial Guinea",1
"Ethiopia",2
"Gambia",1
"Georgia",2
"Ghana",2
"Guatemala",1
"Guyana",2
"Haiti",1
"India",2
"Iran, Islamic Republic of",1
"Kazakhstan",1
"Kenya",2
"Kiribati",2
"Kyrgyzstan",3
"Lao People's Democratic Republic",2
"Lebanon",1
"Madagascar",2
"Malawi",1
"Mali",3
"Mauritania",1
"Mauritius",1
"Moldova, Republic of",1
"Morocco",1
"Mozambique",1
"Myanmar",2
"Namibia",1
"Nepal",2
"Niger",1
"Nigeria",3
"Pakistan",2
"Peru",1
"Philippines",4
"Rwanda",4
"Samoa",1
"Senegal",2
"Somalia",1
"South Sudan",2
"Sudan",2
"Tajikistan",3
"Tanzania, United Republic of",5
"Thailand",2
"Timor-Leste",3
"Tonga",1
"Tunisia",1
"Turkey",2
"Turkmenistan",1
"Uganda",2
"Uzbekistan",1
"Yemen",2
"Zambia",1
"Zimbabwe",1
