"","country","value"
"1","Afghanistan",3
"2","Angola",2
"3","Armenia",3
"4","Azerbaijan",1
"5","Bangladesh",6
"6","Benin",1
"7","Bolivia, Plurinational State of",1
"8","Brazil",1
"9","Burkina Faso",2
"10","Burundi",3
"11","Cabo Verde",1
"12","Cambodia",4
"13","Cameroon",3
"14","Chad",5
"15","Colombia",1
"16","Comoros",3
"17","Congo",1
"18","Cote d'Ivoire",5
"19","Dominican Republic",2
"20","Ecuador",1
"21","El Salvador",1
"22","Equatorial Guinea",1
"23","Ethiopia",2
"24","Gambia",1
"25","Georgia",2
"26","Ghana",2
"27","Guatemala",1
"28","Guyana",2
"29","Haiti",1
"30","India",2
"31","Iran, Islamic Republic of",1
"32","Kazakhstan",1
"33","Kenya",2
"34","Kiribati",2
"35","Kyrgyzstan",3
"36","Lao People's Democratic Republic",2
"37","Lebanon",1
"38","Madagascar",2
"39","Malawi",1
"40","Mali",3
"41","Mauritania",1
"42","Mauritius",1
"43","Moldova, Republic of",1
"44","Morocco",1
"45","Mozambique",1
"46","Myanmar",2
"47","Namibia",1
"48","Nepal",2
"49","Niger",1
"50","Nigeria",3
"51","Pakistan",2
"52","Peru",1
"53","Philippines",4
"54","Rwanda",4
"55","Samoa",1
"56","Senegal",2
"57","Somalia",1
"58","South Sudan",2
"59","Sudan",2
"60","Tajikistan",3
"61","Tanzania, United Republic of",5
"62","Thailand",2
"63","Timor-Leste",3
"64","Tonga",1
"65","Tunisia",1
"66","Turkey",2
"67","Turkmenistan",1
"68","Uganda",2
"69","Uzbekistan",1
"70","Yemen",2
"71","Zambia",1
"72","Zimbabwe",1
