"","country","amount"
"1","Armenia",19000
"2","Bolivia, Plurinational State of",41201
"3","Brazil",47114
"4","Comoros",48477
"5","Guyana",49889
"6","Pakistan",50165
"7","El Salvador",53390
"8","Madagascar",54466
"9","Ecuador",54948
"10","Timor-Leste",61651
"11","Kyrgyzstan",62000
"12","Dominican Republic",65000
"13","Rwanda",68681
"14","Kiribati",69284
"15","Kiribati",69284
"16","Equatorial Guinea",70188
"17","Bangladesh",76000
"18","Colombia",118000
"19","Guyana",121000
"20","Tanzania, United Republic of",123000
"21","Comoros",164756
"22","Guatemala",188000
"23","Armenia",200000
"24","Mauritius",204000
"25","Cote d'Ivoire",236375
"26","Morocco",245000
"27","Cameroon",86666.6666666667
"28","Gambia",86666.6666666667
"29","Zimbabwe",86666.6666666667
"30","Peru",264000
"31","Angola",278000
"32","Madagascar",299932
"33","Chad",327000
"34","Turkey",1100001
"35","Tajikistan",1100002
"36","Kyrgyzstan",1100003
"37","Timor-Leste",331000
"38","Mali",344000
"39","Tonga",346000
"40","Uzbekistan",349001
"41","Turkey",349002
"42","Turkmenistan",349003
"43","Tajikistan",349004
"44","Pakistan",349005
"45","Kazakhstan",349006
"46","Kyrgyzstan",349007
"47","Iran, Islamic Republic of",349008
"48","Azerbaijan",349009
"49","Afghanistan",3490010
"50","Samoa",351000
"51","Bangladesh",354000
"52","Cote d'Ivoire",366000
"53","Cote d'Ivoire",366000
"54","Cote d'Ivoire",366000
"55","Chad",366847
"56","Ghana",372000
"57","Senegal",377000
"58","Comoros",390000
"59","Sudan",398000
"60","Tunisia",401000
"61","Philippines",2062861
"62","Thailand",2062862
"63","Cameroon",443000
"64","Burundi",445994
"65","Timor-Leste",750001
"66","Philippines",750002
"67","Nepal",750003
"68","Myanmar",750004
"69","Lao People's Democratic Republic",750005
"70","Bangladesh",750006
"71","Cabo Verde",472000
"72","Namibia",478000
"73","Lao People's Democratic Republic",192457.333333333
"74","Cambodia",192457.333333333
"75","Myanmar",192457.333333333
"76","Nigeria",608600
"77","Dominican Republic",635324
"78","Moldova, Republic of",686810
"79","Rwanda",702000
"80","Armenia",800000
"81","Haiti",819264
"82","Bangladesh",846935
"83","Lebanon",870329
"84","India",884374
"85","Bangladesh",889802
"86","Ethiopia",997295
"87","Burundi",2000001
"88","Kenya",2000002
"89","Uganda",2000003
"90","Tanzania, United Republic of",2000004
"91","Rwanda",2000005
"92","Chad",200375.41
"93","Niger",200375.42
"94","Mauritania",200375.43
"95","Mali",200375.44
"96","Burkina Faso",200375.45
"97","Cambodia",1228275
"98","Thailand",7088851
"99","Philippines",7088852
"100","Cambodia",1500000
"101","Georgia",1750000
"102","South Sudan",1830540
"103","Georgia",2011000
"104","Tajikistan",2780868
"105","Burundi",2920871
"106","Cambodia",3750000
"107","Yemen",3983006
"108","Tanzania, United Republic of",4000000
"109","Chad",4966574
"110","Afghanistan",2786254
"111","Afghanistan",5277483
"112","Somalia",5310674
"113","Nepal",5422692
"114","Chad",5974509
"115","Zambia",386429.647058824
"116","Uganda",386429.647058824
"117","Tanzania, United Republic of",386429.647058824
"118","Senegal",386429.647058824
"119","Rwanda",386429.647058824
"120","Nigeria",386429.647058825
"121","Mozambique",386429.647058825
"122","Malawi",386429.647058825
"123","Mali",386429.647058825
"124","Kenya",386429.647058824
"125","Ghana",386429.647058824
"126","Ethiopia",386429.647058824
"127","Cameroon",386429.647058824
"128","Cote d'Ivoire",386429.647058824
"129","Benin",386429.647058824
"130","Burkina Faso",386429.647058824
"131","Angola",386429.647058824
"132","Cote d'Ivoire",6916113
"133","Congo",7652668
"134","Yemen",7966012
"135","Bangladesh",2659140.66666667
"136","India",2659140.66666667
"137","Nigeria",2659140.66666667
"138","South Sudan",9293680
"139","Sudan",11053985
