"","ActualEOD","ActualNTE","AvailableBudget","CountryName","DonorandFundingSource","Donor","FinancialsProjectFundingInstitution","FundingSource","GeographicalCoverage","LTODepartment","LTODivision","LTOUnit","LTUHQDecentralizedOffices","MajorProgrammeActivity","OriginalBudget","ProjectClassification","ProjectObjectives","ProjectStaffBudgetHolder","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStaffProgrammeAssistance","ProjectStatuscode","ProjectStatus","ProjectSymbol","ProjectTitle","StrategicFrameworkOrganizationResult","StrategicFrameworkStrategicObjective","StrategicFrameworkUnitResult","TotalBudgetFPMIS","TotalBudgetDWH","staff"
"1",NA,NA,"$159,778 ","Angola, Republic of","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$278,000 ","Assistance to Member Countries","Contribuer à renforcer les capacités des services publics en planification, programmation et de suivi-évaluation de l?ensemble du secteur agricole.","Diallo, M.","","N'Goma-Kimbatsa, P.","","OA","Operationally Active","TCP/ANG/3502","Projet Pilote d`Assistance Préparatoire au Recensement Général Agricole en Angola","201","2","","$278,000 ","$278,000 ","Diallo, M.  N'Goma-Kimbatsa, P. "
"2",NA,NA,"$0 ","Armenia, Republic of","FAO","FAO",NA,"OT","Country","RO","REU","REU","FAO Decentralized offices","","$56,000 ","Assistance to Member Countries","Formulation of a trust fund project document for the implementation of the general agricultural census in the Republic of Armenia","Boedeker, G.","","Tayyib, S.","Kulzhanova, M.","OA","Operationally Active","TCP/ARM/3401 BABY02","Preparatory Assistance for the First Agricultural Census","","","","$56,000 ","$0 ","Boedeker, G.  Tayyib, S. Kulzhanova, M."
"3",NA,NA,"$0 ","Benin, Republic of","FAO","FAO",NA,"OT","Country","ES","ESS","ESSS","FAO HQ Organization","[3D ] Agriculture information and statistics","$410,000 ","Assistance to Member Countries","finaliser les documents techniques sur la base du contenu du Programme mondial du recensement de l?agriculture 2010 recommandé par la FAO ; 
 suivre la réalisation du recensement pilote ; 
 suivre l?établissement de la chaîne de traitement informatique du RNA et la mise en place de la base de données statistiques agricoles ; 
 organiser les restitutions d?étapes et l?atelier de validation des résultats du recensement pilote et de mise en forme final du document de projet ; 
 préparer la table ronde des bailleurs de fonds et assister le Bénin dans la mobilisation des ressources nécessaires à l?exécution du Recensement national de l?agriculture.","Yo, M.","","N'Goma-Kimbatsa, P.","","AC","Activities Completed","TCP/BEN/3201","Assistance technique a la preparation du recensement general de l`agriculture","","","","$410,000 ","$226,502 ","Yo, M.  N'Goma-Kimbatsa, P. "
"4",NA,NA,"$3,923 ","Bangladesh","FAO","FAO",NA,"OT","Country","RO","RAP","RAPE","FAO Decentralized offices","","$354,000 ","Assistance to Member Countries","To harmonise operations of national institutes (BBS, DAE & SPARSSO) for collection of agriculture production statistics by identifying and piloting a unique and harmonised crop-cutting methodology","Robson, M.","Srivastava, M.","","Neyamat, H.","AC","Activities Completed","TCP/BGD/3401","Harmonisation and Dissemination of Unified Agricultural Production Statistics in Bangladesh","204","2","20402","$354,000 ","$354,000 ","Robson, M. Srivastava, M.  Neyamat, H."
"5",NA,NA,"$0 ","Bangladesh","FAO","FAO",NA,"OT","Country","RO","RAP","RAPTE","FAO Decentralized offices","","$76,000 ","Assistance to Member Countries","To plan and Integrated Agriculture Census 2018 combining the crop, fisheries and livestock sub-sectors, FAO?s Technical Assistance is proposed in the following form of cosultancies. Once the design of integrattion together with the roles of diifernet particpating minstries and departments is areed by the Government, a full fledged Technical Assitnce project may be required to provide suport for detailed pplanning of Census activities, based on the outcome of this TCP.","Robson, M.","Srivastava, M.","Castano, J.","","OA","Operationally Active","TCP/BGD/3502 BABY02","Initial support to develop an Integrated Framework for Census (es) for Crop, Livestock and Fishery sector","103","1","10301","$76,000 ","$0 ","Robson, M. Srivastava, M. Castano, J. "
"6",NA,NA,"$0 ","Bolivia","FAO","FAO",NA,"OT","Country","RO","RLC","RLCTD","FAO Decentralized offices","","$41,201 ","Assistance to Member Countries","Se pretende con el presente proyecto que el Estado Plurinacional cuente con mayor capacidad institucional para realizar la medición, seguimiento y análisis del consumo de alimentos plasmado en un Observatorio del Consumo de Alimentos para orientar las políticas sobre la soberanía y seguridad alimentaria","Moreira, C.","","Boero, V.","","OA","Operationally Active","TCP/BOL/3504 BABY03","Asistencia técnica al MDPyEP para el desarrollo de capacidades en la implementación de una prueba Piloto del Observatorio del Consumo","101, 403","1, 4","10101, 40303","$41,201 ","$0 ","Moreira, C.  Boero, V. "
"7",NA,NA,"$0 ","Brazil","FAO","FAO",NA,"OT","Country","ES","ESS","ESSDD","FAO HQ Organization","","$47,114 ","Assistance to Member Countries","SOFI 2013 figures on the state of food insecurity have raised the interest for greater technical coolaboration between the Government of Brazil and FAO in an effort to construct an open plataform for knowledge sharing and in-depth review of statistical indicators in the context of food insecurity.","Bojanic Helbingen, A.","","Cafiero, C.","","OA","Operationally Active","TCP/BRA/3501 BABY01","Measuring Food Insecurity Indicators in Brazil","103","1","10301, 10302","$47,114 ","$0 ","Bojanic Helbingen, A.  Cafiero, C. "
"8",NA,NA,"$57,228 ","Chad","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$327,000 ","Assistance to Member Countries","Apporter un appui technique au Gouvernement pour mener à bien les travaux préparatoires du Recensement Général de l'Agriculture (RGA) et du traitement informatique, l'analyse et la diffusion des données du Recensement Général de l'Elevage (RGE), notamment :
Elaborer la méthodologie et les documents techniques du RGA sur la base du contenu du Programme mondial du recensement de l'agriculture 2010 recommandé par la FAO ; 
Elaborer la méthodologie et les programmes de traitement informatique du RGA; 
Assurer la réalisation et l'évaluation des résultats du RGA pilote ; 
Appuyer le traitement informatique, l?analyse et la publication des résultats des modules structurels (module de base et module des données communautaires) du RGA ; 
Finaliser le document du projet principal RGA ;
Appuyer la formation à la collecte des données, le traitement informatique, l'analyse et la publication des résultats du RGE.","N'Diaye, M.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","","OA","Operationally Active","TCP/CHD/3402","Assistance préparatoire au Recensement Général de l`Agriculture (RGA) et au Recensement Général de l`Elevage (RGE)","401","4","","$327,000 ","$327,000 ","N'Diaye, M. Ouedraogo, E. N'Goma-Kimbatsa, P. "
"9",NA,NA,"$169,419 ","Cameroon, Republic of","FAO","FAO",NA,"OT","Country","RO","RAF","RAF","FAO Decentralized offices","","$443,000 ","Assistance to Member Countries","Aider le Gouvernement à préparer le Recensement Général de l'Agriculture et de l'Elevage (RGAE) par l'achèvement de la préparation administrative, la mise au point d'une méthodologie complète et des documents techniques, la définition de la stratégie de communication multimédia, le renforcement des capacités techniques et la formulation du document du projet principal «Recensement Général de l'Agriculture et de l?Elevage (RGAE)» en capitalisant les acquis du LAGC réalisé par le MINEPIA avec l'appui technique de l'INS.","Abari, M.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","","OA","Operationally Active","TCP/CMR/3501","Assistance préparatoire au Recensement Général de  l`Agriculture et de l`Elevage (RGAE)","401","4","","$443,000 ","$443,000 ","Abari, M. Ouedraogo, E. N'Goma-Kimbatsa, P. "
"10",NA,NA,"$80,098 ","Comoros","FAO","FAO",NA,"OT","not specified","ES","ESS","ESS","FAO HQ Organization","","$48,477 ","Assistance to Member Countries","TCP Facility","Talla Takoukam, P.","","Ankers, P.","","OA","Operationally Active","TCP/COI/3502","TCP Facility","201, 204","2","","$164,756 ","$164,756 ","Talla Takoukam, P.  Ankers, P. "
